recipe_kind,source_name,source_weight,blend_mode,macro_f1,contact_macro_f1,binary_macro_f1,selection_score
audio_lift_source_blend,report_gate_onehot,0.05,segment_lift,0.9353447727801658,0.9164944534943943,0.99077894279929,0.9352330939963467
audio_lift_source_blend,report_gate_onehot,0.1,segment_lift,0.9353447727801658,0.9164944534943943,0.99077894279929,0.9352330939963467
audio_lift_source_blend,report_gate_onehot,0.15,segment_lift,0.9353447727801658,0.9164944534943943,0.99077894279929,0.9352330939963467
audio_lift_source_blend,report_gate_onehot,0.2,segment_lift,0.9353447727801658,0.9164944534943943,0.99077894279929,0.9352330939963467
audio_lift_source_blend,report_gate_onehot,0.25,segment_lift,0.9353447727801658,0.9164944534943943,0.99077894279929,0.9352330939963467
audio_lift_source_blend,report_gate_onehot,0.33,segment_lift,0.9353447727801658,0.9164944534943943,0.99077894279929,0.9352330939963467
audio_lift_source_blend,report_gate_onehot,0.5,segment_lift,0.9320811418307211,0.9121429455618015,0.99077894279929,0.9319694630469021
audio_lift_source_blend,mfcc40_grid,0.05,segment_lift,0.931234670351508,0.9110143169228507,0.99077894279929,0.931122991567689
audio_lift_source_blend,mfcc40_grid,0.1,segment_lift,0.931234670351508,0.9110143169228507,0.99077894279929,0.931122991567689
audio_lift_source_blend,mfcc40_grid,0.15,segment_lift,0.931234670351508,0.9110143169228507,0.99077894279929,0.931122991567689
audio_lift_source_blend,total240_tree_meta,0.05,segment_lift,0.931234670351508,0.9110143169228507,0.99077894279929,0.931122991567689
audio_lift_source_blend,total240_tree_meta,0.1,segment_lift,0.931234670351508,0.9110143169228507,0.99077894279929,0.931122991567689
audio_lift_source_blend,total240_tree_meta,0.15,segment_lift,0.931234670351508,0.9110143169228507,0.99077894279929,0.931122991567689
audio_lift_source_blend,total240_stack_lr,0.1,segment_lift,0.9311451603709455,0.9109230480525262,0.9906840947841588,0.931032420116741
audio_lift_source_blend,total240_stack_lr,0.15,segment_lift,0.9311451603709455,0.9109230480525262,0.9906840947841588,0.931032420116741
audio_lift_source_blend,total240_stack_lr,0.2,segment_lift,0.9311451603709455,0.9109230480525262,0.9906840947841588,0.931032420116741
audio_lift_source_blend,total240_tree_meta,0.2,segment_lift,0.9311451603709455,0.9109230480525262,0.9906840947841588,0.931032420116741
audio_lift_source_blend,total240_tree_meta,0.25,segment_lift,0.9311451603709455,0.9109230480525262,0.9906840947841588,0.931032420116741
audio_lift_source_blend,highsr_default,0.05,segment_lift,0.9310825215376203,0.910811451837667,0.99077894279929,0.9309708427538012
audio_lift_source_blend,highsr_extratrees,0.05,segment_lift,0.9310825215376203,0.910811451837667,0.99077894279929,0.9309708427538012
audio_lift_source_blend,highsr_regularized,0.05,segment_lift,0.9310825215376203,0.910811451837667,0.99077894279929,0.9309708427538012
audio_lift_source_blend,report_gate_proba,0.05,segment_lift,0.9310825215376203,0.910811451837667,0.99077894279929,0.9309708427538012
audio_lift_source_blend,report_gate_proba,0.1,segment_lift,0.9310825215376203,0.910811451837667,0.99077894279929,0.9309708427538012
audio_lift_source_blend,total120_grid,0.05,segment_lift,0.9310825215376203,0.910811451837667,0.99077894279929,0.9309708427538012
audio_lift_source_blend,total240_stack_lr,0.05,segment_lift,0.9310825215376203,0.910811451837667,0.99077894279929,0.9309708427538012
audio_lift_source_blend,total240_stack_lr,0.25,segment_lift,0.9310556869246127,0.910831832587041,0.9905892509675983,0.9309418870276397
audio_lift_source_blend,total240_stack_lr,0.33,segment_lift,0.9310556869246127,0.910831832587041,0.9905892509675983,0.9309418870276397
audio_lift_source_blend,total240_tree_meta,0.33,segment_lift,0.9310556869246127,0.910831832587041,0.9905892509675983,0.9309418870276397
audio_lift_source_blend,highsr_default,0.5,segment_lift,0.9309930143291566,0.9107201866634745,0.9906840947841588,0.9308802740749521
audio_lift_source_blend,total240_tree_meta,0.5,segment_lift,0.9308688650348148,0.9106389157421991,0.9903995759087652,0.930752951334425
audio_lift_source_blend,report_gate_proba,0.15,raw_argmax,0.929923866882744,0.9092942006779666,0.9906836657478986,0.9298109469078263
audio_lift_source_blend,highsr_extratrees,0.5,segment_lift,0.9299108773686848,0.9093054198458037,0.9905892509675983,0.9297970774717118
audio_lift_source_blend,total120_grid,0.33,segment_lift,0.9297373945536831,0.9090179491924175,0.99077894279929,0.9296257157698641
audio_lift_source_blend,anchor_only,0.0,raw_argmax,0.9294091675367788,0.9085803131698785,0.99077894279929,0.9292974887529598
audio_lift_source_blend,anchor_only,0.0,segment_lift,0.9294091675367788,0.9085803131698785,0.99077894279929,0.9292974887529598
audio_lift_source_blend,highsr_regularized,0.33,segment_lift,0.9294091675367788,0.9085803131698785,0.99077894279929,0.9292974887529598
audio_lift_source_blend,highsr_regularized,0.5,segment_lift,0.9293196918162749,0.9084890899796321,0.9906840947841588,0.9292069515620704
audio_lift_source_blend,total240_stack_lr,0.5,segment_lift,0.9293034641098881,0.9089947371152022,0.9888761534630441,0.9291681149467979
audio_lift_source_blend,mfcc40_grid,0.33,segment_lift,0.9291267698255771,0.9082318606587019,0.9906840947841588,0.9290140295713727
audio_lift_source_blend,highsr_extratrees,0.05,raw_argmax,0.9282120480491186,0.906984153852998,0.99077894279929,0.9281003692652995
audio_lift_source_blend,highsr_default,0.15,raw_argmax,0.9281867891684976,0.9069780970589715,0.9906836657478986,0.9280738691935798
audio_lift_source_blend,report_gate_onehot,0.1,raw_argmax,0.9279391878066308,0.9066203401963477,0.99077894279929,0.9278275090228117
audio_lift_source_blend,total240_stack_lr,0.05,raw_argmax,0.927886295963582,0.9065498177389492,0.99077894279929,0.9277746171797628
audio_lift_source_blend,highsr_default,0.1,segment_lift,0.9278434946354958,0.906492749301501,0.99077894279929,0.9277318158516767
audio_lift_source_blend,highsr_default,0.15,segment_lift,0.9278434946354958,0.906492749301501,0.99077894279929,0.9277318158516767
audio_lift_source_blend,highsr_default,0.2,segment_lift,0.9278434946354958,0.906492749301501,0.99077894279929,0.9277318158516767
audio_lift_source_blend,highsr_default,0.25,segment_lift,0.9278434946354958,0.906492749301501,0.99077894279929,0.9277318158516767
audio_lift_source_blend,highsr_default,0.33,segment_lift,0.9278434946354958,0.906492749301501,0.99077894279929,0.9277318158516767
audio_lift_source_blend,highsr_regularized,0.1,segment_lift,0.9278434946354958,0.906492749301501,0.99077894279929,0.9277318158516767
audio_lift_source_blend,highsr_regularized,0.15,segment_lift,0.9278434946354958,0.906492749301501,0.99077894279929,0.9277318158516767
audio_lift_source_blend,highsr_regularized,0.2,segment_lift,0.9278434946354958,0.906492749301501,0.99077894279929,0.9277318158516767
audio_lift_source_blend,highsr_regularized,0.25,segment_lift,0.9278434946354958,0.906492749301501,0.99077894279929,0.9277318158516767
audio_lift_source_blend,total240_tree_meta,0.05,raw_argmax,0.9278386468272547,0.9064862855571795,0.99077894279929,0.9277269680434356
audio_lift_source_blend,total120_grid,0.05,raw_argmax,0.9275613053962553,0.9061164969825136,0.99077894279929,0.9274496266124362
audio_lift_source_blend,highsr_extratrees,0.1,raw_argmax,0.9275572233231796,0.9061110542184129,0.99077894279929,0.9274455445393606
audio_lift_source_blend,total240_grid,0.05,raw_argmax,0.9273526404655185,0.9058382770748646,0.99077894279929,0.9272409616816993
audio_lift_source_blend,highsr_regularized,0.2,raw_argmax,0.9272519869041447,0.9057040723263662,0.99077894279929,0.9271403081203256
audio_lift_source_blend,total240_stack_lr,0.1,raw_argmax,0.9272453367220718,0.9056952054169357,0.99077894279929,0.9271336579382528
audio_lift_source_blend,total240_ensemble,0.05,raw_argmax,0.9271805735909922,0.9056088545754961,0.99077894279929,0.9270688948071731
audio_lift_source_blend,mfcc40_grid,0.2,segment_lift,0.9271383590371138,0.9055525685036584,0.99077894279929,0.9270266802532948
audio_lift_source_blend,mfcc40_grid,0.25,segment_lift,0.9271383590371138,0.9055525685036584,0.99077894279929,0.9270266802532948
audio_lift_source_blend,highsr_extratrees,0.2,raw_argmax,0.9270909448257711,0.9055169712686695,0.9906836657478986,0.9269780248508535
audio_lift_source_blend,total240_stack_lr,0.15,raw_argmax,0.9270657923580777,0.9054558129316103,0.99077894279929,0.9269541135742586
